Epoch: 44, Loss: 6.4425, Acc: 0.1099, Top-5: 0.2618, Masked-5: 0.3694, Top-10: 0.3369, Masked-10: 0.5516
Epoch: 45, Loss: 6.4071, Acc: 0.1130, Top-5: 0.2671, Masked-5: 0.3702, Top-10: 0.3432, Masked-10: 0.5522
Epoch: 46, Loss: 6.3911, Acc: 0.1116, Top-5: 0.2690, Masked-5: 0.3711, Top-10: 0.3439, Masked-10: 0.5527
Epoch: 47, Loss: 6.3605, Acc: 0.1155, Top-5: 0.2741, Masked-5: 0.3720, Top-10: 0.3501, Masked-10: 0.5535
Epoch: 48, Loss: 6.4045, Acc: 0.1126, Top-5: 0.2698, Masked-5: 0.3728, Top-10: 0.3458, Masked-10: 0.5539
Epoch: 49, Loss: 6.3613, Acc: 0.1145, Top-5: 0.2752, Masked-5: 0.3735, Top-10: 0.3518, Masked-10: 0.5546
Epoch: 50, Loss: 6.3681, Acc: 0.1172, Top-5: 0.2763, Masked-5: 0.3743, Top-10: 0.3517, Masked-10: 0.5551
Epoch: 51, Loss: 6.3616, Acc: 0.1178, Top-5: 0.2753, Masked-5: 0.3749, Top-10: 0.3510, Masked-10: 0.5557
Epoch: 52, Loss: 6.3772, Acc: 0.1129, Top-5: 0.2746, Masked-5: 0.3756, Top-10: 0.3544, Masked-10: 0.5561
Epoch: 53, Loss: 6.3427, Acc: 0.1188, Top-5: 0.2784, Masked-5: 0.3763, Top-10: 0.3562, Masked-10: 0.5565
Epoch: 54, Loss: 6.3491, Acc: 0.1145, Top-5: 0.2801, Masked-5: 0.3772, Top-10: 0.3593, Masked-10: 0.5573
Epoch: 55, Loss: 6.3322, Acc: 0.1163, Top-5: 0.2824, Masked-5: 0.3781, Top-10: 0.3611, Masked-10: 0.5580
Epoch: 56, Loss: 6.2761, Acc: 0.1200, Top-5: 0.2907, Masked-5: 0.3789, Top-10: 0.3705, Masked-10: 0.5586
Epoch: 57, Loss: 6.3055, Acc: 0.1219, Top-5: 0.2860, Masked-5: 0.3795, Top-10: 0.3677, Masked-10: 0.5591
Epoch: 58, Loss: 6.3070, Acc: 0.1195, Top-5: 0.2856, Masked-5: 0.3801, Top-10: 0.3657, Masked-10: 0.5596
Epoch: 59, Loss: 6.2949, Acc: 0.1219, Top-5: 0.2909, Masked-5: 0.3809, Top-10: 0.3660, Masked-10: 0.5602
Epoch: 60, Loss: 6.2388, Acc: 0.1270, Top-5: 0.2976, Masked-5: 0.3817, Top-10: 0.3756, Masked-10: 0.5609
Epoch: 61, Loss: 6.2894, Acc: 0.1218, Top-5: 0.2902, Masked-5: 0.3824, Top-10: 0.3692, Masked-10: 0.5615
Epoch: 62, Loss: 6.2550, Acc: 0.1254, Top-5: 0.2973, Masked-5: 0.3831, Top-10: 0.3763, Masked-10: 0.5620
Epoch: 63, Loss: 6.2732, Acc: 0.1206, Top-5: 0.2941, Masked-5: 0.3838, Top-10: 0.3743, Masked-10: 0.5625
Epoch: 64, Loss: 6.2819, Acc: 0.1227, Top-5: 0.2909, Masked-5: 0.3844, Top-10: 0.3707, Masked-10: 0.5630
Epoch: 65, Loss: 6.2447, Acc: 0.1239, Top-5: 0.2954, Masked-5: 0.3850, Top-10: 0.3784, Masked-10: 0.5635
Epoch: 66, Loss: 6.2438, Acc: 0.1253, Top-5: 0.2999, Masked-5: 0.3855, Top-10: 0.3809, Masked-10: 0.5637
Epoch: 67, Loss: 6.2427, Acc: 0.1234, Top-5: 0.2983, Masked-5: 0.3861, Top-10: 0.3785, Masked-10: 0.5642
Epoch: 68, Loss: 6.2203, Acc: 0.1247, Top-5: 0.2992, Masked-5: 0.3868, Top-10: 0.3821, Masked-10: 0.5647
Epoch: 69, Loss: 6.2285, Acc: 0.1251, Top-5: 0.3035, Masked-5: 0.3874, Top-10: 0.3853, Masked-10: 0.5652
Epoch: 70, Loss: 6.2063, Acc: 0.1308, Top-5: 0.3057, Masked-5: 0.3881, Top-10: 0.3847, Masked-10: 0.5658
Epoch: 71, Loss: 6.2087, Acc: 0.1294, Top-5: 0.3054, Masked-5: 0.3887, Top-10: 0.3866, Masked-10: 0.5662
Epoch: 72, Loss: 6.2023, Acc: 0.1317, Top-5: 0.3048, Masked-5: 0.3893, Top-10: 0.3869, Masked-10: 0.5666
Epoch: 73, Loss: 6.1631, Acc: 0.1337, Top-5: 0.3094, Masked-5: 0.3898, Top-10: 0.3916, Masked-10: 0.5670
Epoch: 74, Loss: 6.2057, Acc: 0.1341, Top-5: 0.3059, Masked-5: 0.3903, Top-10: 0.3858, Masked-10: 0.5673
Epoch: 75, Loss: 6.1753, Acc: 0.1314, Top-5: 0.3097, Masked-5: 0.3909, Top-10: 0.3915, Masked-10: 0.5678
Epoch: 76, Loss: 6.1475, Acc: 0.1368, Top-5: 0.3158, Masked-5: 0.3916, Top-10: 0.3981, Masked-10: 0.5683
Epoch: 77, Loss: 6.2226, Acc: 0.1267, Top-5: 0.3058, Masked-5: 0.3921, Top-10: 0.3853, Masked-10: 0.5687
Epoch: 78, Loss: 6.1999, Acc: 0.1274, Top-5: 0.3060, Masked-5: 0.3926, Top-10: 0.3881, Masked-10: 0.5691
Epoch: 79, Loss: 6.1510, Acc: 0.1317, Top-5: 0.3151, Masked-5: 0.3932, Top-10: 0.3957, Masked-10: 0.5695
Epoch: 80, Loss: 6.1375, Acc: 0.1352, Top-5: 0.3152, Masked-5: 0.3937, Top-10: 0.3969, Masked-10: 0.5699
Epoch: 81, Loss: 6.1663, Acc: 0.1311, Top-5: 0.3105, Masked-5: 0.3942, Top-10: 0.3943, Masked-10: 0.5702
Epoch: 82, Loss: 6.1284, Acc: 0.1379, Top-5: 0.3169, Masked-5: 0.3947, Top-10: 0.3975, Masked-10: 0.5706
Epoch: 83, Loss: 6.1824, Acc: 0.1326, Top-5: 0.3103, Masked-5: 0.3951, Top-10: 0.3904, Masked-10: 0.5709
Epoch: 84, Loss: 6.1195, Acc: 0.1404, Top-5: 0.3169, Masked-5: 0.3957, Top-10: 0.3980, Masked-10: 0.5712
Epoch: 85, Loss: 6.1117, Acc: 0.1359, Top-5: 0.3193, Masked-5: 0.3961, Top-10: 0.4030, Masked-10: 0.5715
Epoch: 86, Loss: 6.1089, Acc: 0.1397, Top-5: 0.3224, Masked-5: 0.3966, Top-10: 0.4046, Masked-10: 0.5718
Epoch: 87, Loss: 6.1300, Acc: 0.1365, Top-5: 0.3172, Masked-5: 0.3971, Top-10: 0.3995, Masked-10: 0.5722
Epoch: 88, Loss: 6.0916, Acc: 0.1394, Top-5: 0.3231, Masked-5: 0.3976, Top-10: 0.4090, Masked-10: 0.5725
Epoch: 89, Loss: 6.1289, Acc: 0.1368, Top-5: 0.3219, Masked-5: 0.3981, Top-10: 0.4019, Masked-10: 0.5728
Epoch: 90, Loss: 6.1276, Acc: 0.1372, Top-5: 0.3182, Masked-5: 0.3985, Top-10: 0.4024, Masked-10: 0.5730
Epoch: 91, Loss: 6.1010, Acc: 0.1402, Top-5: 0.3197, Masked-5: 0.3988, Top-10: 0.4057, Masked-10: 0.5732
Epoch: 92, Loss: 6.1259, Acc: 0.1368, Top-5: 0.3216, Masked-5: 0.3993, Top-10: 0.4052, Masked-10: 0.5736
Epoch: 93, Loss: 6.1106, Acc: 0.1386, Top-5: 0.3229, Masked-5: 0.3997, Top-10: 0.4067, Masked-10: 0.5739
Epoch: 94, Loss: 6.0935, Acc: 0.1415, Top-5: 0.3247, Masked-5: 0.4002, Top-10: 0.4069, Masked-10: 0.5742
Epoch: 95, Loss: 6.1008, Acc: 0.1398, Top-5: 0.3228, Masked-5: 0.4006, Top-10: 0.4073, Masked-10: 0.5744
Epoch: 96, Loss: 6.0995, Acc: 0.1411, Top-5: 0.3271, Masked-5: 0.4010, Top-10: 0.4075, Masked-10: 0.5746
Epoch: 97, Loss: 6.1077, Acc: 0.1388, Top-5: 0.3243, Masked-5: 0.4014, Top-10: 0.4060, Masked-10: 0.5749
Epoch: 98, Loss: 6.0013, Acc: 0.1463, Top-5: 0.3368, Masked-5: 0.4019, Top-10: 0.4207, Masked-10: 0.5751
Epoch: 99, Loss: 6.0852, Acc: 0.1379, Top-5: 0.3245, Masked-5: 0.4023, Top-10: 0.4096, Masked-10: 0.5754
Epoch: 100, Loss: 6.0960, Acc: 0.1400, Top-5: 0.3247, Masked-5: 0.4027, Top-10: 0.4076, Masked-10: 0.5756
Epoch: 101, Loss: 6.0653, Acc: 0.1471, Top-5: 0.3284, Masked-5: 0.4031, Top-10: 0.4104, Masked-10: 0.5759
Epoch: 102, Loss: 6.0620, Acc: 0.1461, Top-5: 0.3296, Masked-5: 0.4035, Top-10: 0.4131, Masked-10: 0.5762
Epoch: 103, Loss: 6.0162, Acc: 0.1488, Top-5: 0.3375, Masked-5: 0.4039, Top-10: 0.4206, Masked-10: 0.5764
Epoch: 104, Loss: 6.0738, Acc: 0.1427, Top-5: 0.3302, Masked-5: 0.4043, Top-10: 0.4133, Masked-10: 0.5768
Epoch: 105, Loss: 6.0403, Acc: 0.1483, Top-5: 0.3340, Masked-5: 0.4047, Top-10: 0.4169, Masked-10: 0.5772
