Epoch: 37, Loss: 5.4489, Acc: 0.1851, Masked-Acc: 0.2178, Top-5: 0.4108, Masked-5: 0.4872, Top-10: 0.5062, Masked-10: 0.6287
Epoch: 38, Loss: 5.3553, Acc: 0.1925, Masked-Acc: 0.2241, Top-5: 0.4240, Masked-5: 0.5001, Top-10: 0.5208, Masked-10: 0.6397
Epoch: 39, Loss: 5.4016, Acc: 0.1896, Masked-Acc: 0.2240, Top-5: 0.4194, Masked-5: 0.4960, Top-10: 0.5130, Masked-10: 0.6361
Epoch: 40, Loss: 5.3708, Acc: 0.1871, Masked-Acc: 0.2219, Top-5: 0.4227, Masked-5: 0.4968, Top-10: 0.5178, Masked-10: 0.6329
Epoch: 41, Loss: 5.3870, Acc: 0.1891, Masked-Acc: 0.2201, Top-5: 0.4200, Masked-5: 0.4951, Top-10: 0.5162, Masked-10: 0.6370
Epoch: 42, Loss: 5.3606, Acc: 0.1898, Masked-Acc: 0.2229, Top-5: 0.4251, Masked-5: 0.5002, Top-10: 0.5210, Masked-10: 0.6405
Epoch: 43, Loss: 5.3800, Acc: 0.1867, Masked-Acc: 0.2201, Top-5: 0.4240, Masked-5: 0.4981, Top-10: 0.5182, Masked-10: 0.6362
Epoch: 44, Loss: 5.3594, Acc: 0.1950, Masked-Acc: 0.2272, Top-5: 0.4284, Masked-5: 0.5017, Top-10: 0.5193, Masked-10: 0.6378
Epoch: 45, Loss: 5.3360, Acc: 0.1923, Masked-Acc: 0.2253, Top-5: 0.4277, Masked-5: 0.4990, Top-10: 0.5227, Masked-10: 0.6356
Epoch: 46, Loss: 5.3574, Acc: 0.1927, Masked-Acc: 0.2255, Top-5: 0.4222, Masked-5: 0.4957, Top-10: 0.5188, Masked-10: 0.6355
Epoch: 47, Loss: 5.3673, Acc: 0.1916, Masked-Acc: 0.2250, Top-5: 0.4234, Masked-5: 0.4985, Top-10: 0.5191, Masked-10: 0.6432
Epoch: 48, Loss: 5.3535, Acc: 0.1942, Masked-Acc: 0.2277, Top-5: 0.4247, Masked-5: 0.4995, Top-10: 0.5195, Masked-10: 0.6364
Epoch: 49, Loss: 5.3572, Acc: 0.1919, Masked-Acc: 0.2249, Top-5: 0.4246, Masked-5: 0.4996, Top-10: 0.5212, Masked-10: 0.6407
