Epoch: 1, Loss: 7.6717, Acc: 0.0176, Masked-Acc: 0.0848, Top-5: 0.0518, Masked-5: 0.2854, Top-10: 0.0837, Masked-10: 0.4805
Epoch: 2, Loss: 7.2236, Acc: 0.0283, Masked-Acc: 0.1001, Top-5: 0.0781, Masked-5: 0.3123, Top-10: 0.1214, Masked-10: 0.5056
Epoch: 3, Loss: 7.1269, Acc: 0.0344, Masked-Acc: 0.1061, Top-5: 0.0925, Masked-5: 0.3184, Top-10: 0.1391, Masked-10: 0.5087
Epoch: 4, Loss: 7.0619, Acc: 0.0413, Masked-Acc: 0.1103, Top-5: 0.1059, Masked-5: 0.3221, Top-10: 0.1550, Masked-10: 0.5131
Epoch: 5, Loss: 7.0155, Acc: 0.0476, Masked-Acc: 0.1129, Top-5: 0.1208, Masked-5: 0.3280, Top-10: 0.1719, Masked-10: 0.5098
Epoch: 6, Loss: 6.9193, Acc: 0.0528, Masked-Acc: 0.1173, Top-5: 0.1349, Masked-5: 0.3383, Top-10: 0.1913, Masked-10: 0.5116
Epoch: 7, Loss: 6.8623, Acc: 0.0583, Masked-Acc: 0.1197, Top-5: 0.1488, Masked-5: 0.3391, Top-10: 0.2039, Masked-10: 0.5120
Epoch: 8, Loss: 6.7976, Acc: 0.0615, Masked-Acc: 0.1244, Top-5: 0.1618, Masked-5: 0.3562, Top-10: 0.2224, Masked-10: 0.5323
Epoch: 9, Loss: 6.7777, Acc: 0.0664, Masked-Acc: 0.1268, Top-5: 0.1704, Masked-5: 0.3553, Top-10: 0.2319, Masked-10: 0.5279
Epoch: 10, Loss: 6.7291, Acc: 0.0700, Masked-Acc: 0.1281, Top-5: 0.1815, Masked-5: 0.3670, Top-10: 0.2448, Masked-10: 0.5383
Epoch: 11, Loss: 6.6854, Acc: 0.0759, Masked-Acc: 0.1329, Top-5: 0.1923, Masked-5: 0.3673, Top-10: 0.2555, Masked-10: 0.5349
Epoch: 12, Loss: 6.6341, Acc: 0.0801, Masked-Acc: 0.1382, Top-5: 0.2012, Masked-5: 0.3754, Top-10: 0.2665, Masked-10: 0.5418
Epoch: 13, Loss: 6.5711, Acc: 0.0837, Masked-Acc: 0.1425, Top-5: 0.2111, Masked-5: 0.3820, Top-10: 0.2788, Masked-10: 0.5441
Epoch: 14, Loss: 6.5429, Acc: 0.0879, Masked-Acc: 0.1431, Top-5: 0.2193, Masked-5: 0.3813, Top-10: 0.2880, Masked-10: 0.5474
Epoch: 15, Loss: 6.5175, Acc: 0.0891, Masked-Acc: 0.1418, Top-5: 0.2225, Masked-5: 0.3783, Top-10: 0.2947, Masked-10: 0.5439
Epoch: 16, Loss: 6.4827, Acc: 0.0900, Masked-Acc: 0.1463, Top-5: 0.2300, Masked-5: 0.3897, Top-10: 0.3027, Masked-10: 0.5551
Epoch: 17, Loss: 6.4503, Acc: 0.0929, Masked-Acc: 0.1456, Top-5: 0.2365, Masked-5: 0.3882, Top-10: 0.3072, Masked-10: 0.5518
Epoch: 18, Loss: 6.4215, Acc: 0.0965, Masked-Acc: 0.1500, Top-5: 0.2427, Masked-5: 0.3935, Top-10: 0.3172, Masked-10: 0.5600
Epoch: 19, Loss: 6.3661, Acc: 0.1021, Masked-Acc: 0.1554, Top-5: 0.2518, Masked-5: 0.4004, Top-10: 0.3261, Masked-10: 0.5605
Epoch: 20, Loss: 6.3272, Acc: 0.1035, Masked-Acc: 0.1540, Top-5: 0.2579, Masked-5: 0.3962, Top-10: 0.3334, Masked-10: 0.5579
Epoch: 21, Loss: 6.2929, Acc: 0.1055, Masked-Acc: 0.1545, Top-5: 0.2608, Masked-5: 0.4026, Top-10: 0.3415, Masked-10: 0.5650
Epoch: 22, Loss: 6.2915, Acc: 0.1042, Masked-Acc: 0.1542, Top-5: 0.2638, Masked-5: 0.4006, Top-10: 0.3425, Masked-10: 0.5625
Epoch: 23, Loss: 6.2642, Acc: 0.1085, Masked-Acc: 0.1590, Top-5: 0.2686, Masked-5: 0.4090, Top-10: 0.3507, Masked-10: 0.5715
Epoch: 24, Loss: 6.2503, Acc: 0.1094, Masked-Acc: 0.1580, Top-5: 0.2707, Masked-5: 0.4078, Top-10: 0.3514, Masked-10: 0.5703
Epoch: 25, Loss: 6.2307, Acc: 0.1109, Masked-Acc: 0.1580, Top-5: 0.2745, Masked-5: 0.4044, Top-10: 0.3569, Masked-10: 0.5708
Epoch: 26, Loss: 6.2079, Acc: 0.1138, Masked-Acc: 0.1614, Top-5: 0.2792, Masked-5: 0.4080, Top-10: 0.3630, Masked-10: 0.5684
