Epoch: 79, Loss: 1.6559, Acc: 0.4868, Legal_prob: 0.9811
Epoch: 80, Loss: 1.6459, Acc: 0.4899, Legal_prob: 0.9811
Epoch: 81, Loss: 1.6567, Acc: 0.4875, Legal_prob: 0.9815
Epoch: 82, Loss: 1.6415, Acc: 0.4907, Legal_prob: 0.9817
Epoch: 83, Loss: 1.6449, Acc: 0.4900, Legal_prob: 0.9820
Epoch: 84, Loss: 1.6507, Acc: 0.4885, Legal_prob: 0.9820
Epoch: 85, Loss: 1.6409, Acc: 0.4907, Legal_prob: 0.9824
Epoch: 86, Loss: 1.6366, Acc: 0.4941, Legal_prob: 0.9827
Epoch: 87, Loss: 1.6436, Acc: 0.4911, Legal_prob: 0.9822
Epoch: 88, Loss: 1.6458, Acc: 0.4903, Legal_prob: 0.9823
Epoch: 89, Loss: 1.6349, Acc: 0.4923, Legal_prob: 0.9827
Epoch: 90, Loss: 1.6590, Acc: 0.4876, Legal_prob: 0.9825
Epoch: 91, Loss: 1.6344, Acc: 0.4933, Legal_prob: 0.9829
Epoch: 92, Loss: 1.6378, Acc: 0.4919, Legal_prob: 0.9829
Epoch: 93, Loss: 1.6498, Acc: 0.4901, Legal_prob: 0.9825
Epoch: 94, Loss: 1.6376, Acc: 0.4919, Legal_prob: 0.9828
Epoch: 95, Loss: 1.6730, Acc: 0.4846, Legal_prob: 0.9825
Epoch: 96, Loss: 1.6801, Acc: 0.4826, Legal_prob: 0.9829
Epoch: 97, Loss: 1.6536, Acc: 0.4885, Legal_prob: 0.9830
Epoch: 98, Loss: 1.6403, Acc: 0.4893, Legal_prob: 0.9831
Epoch: 99, Loss: 1.6349, Acc: 0.4912, Legal_prob: 0.9832
Epoch: 100, Loss: 1.6385, Acc: 0.4920, Legal_prob: 0.9831
Epoch: 101, Loss: 1.6447, Acc: 0.4912, Legal_prob: 0.9835
Epoch: 102, Loss: 1.6403, Acc: 0.4896, Legal_prob: 0.9839
Epoch: 103, Loss: 1.6338, Acc: 0.4926, Legal_prob: 0.9840
Epoch: 104, Loss: 1.6228, Acc: 0.4970, Legal_prob: 0.9845
Epoch: 105, Loss: 1.6295, Acc: 0.4937, Legal_prob: 0.9846
Epoch: 106, Loss: 1.6422, Acc: 0.4909, Legal_prob: 0.9846
Epoch: 107, Loss: 1.6157, Acc: 0.4981, Legal_prob: 0.9850
Epoch: 108, Loss: 1.6239, Acc: 0.4943, Legal_prob: 0.9852
Epoch: 109, Loss: 1.6188, Acc: 0.4952, Legal_prob: 0.9852
Epoch: 110, Loss: 1.6178, Acc: 0.4957, Legal_prob: 0.9852
Epoch: 111, Loss: 1.6168, Acc: 0.4970, Legal_prob: 0.9850
Epoch: 112, Loss: 1.6300, Acc: 0.4947, Legal_prob: 0.9849
Epoch: 113, Loss: 1.6080, Acc: 0.4986, Legal_prob: 0.9853
Epoch: 114, Loss: 1.6176, Acc: 0.4969, Legal_prob: 0.9853
Epoch: 115, Loss: 1.6042, Acc: 0.4982, Legal_prob: 0.9858
Epoch: 116, Loss: 1.6112, Acc: 0.4984, Legal_prob: 0.9855
Epoch: 117, Loss: 1.6169, Acc: 0.4974, Legal_prob: 0.9855
Epoch: 118, Loss: 1.6171, Acc: 0.4957, Legal_prob: 0.9855
Epoch: 119, Loss: 1.6221, Acc: 0.4949, Legal_prob: 0.9853
Epoch: 120, Loss: 1.6211, Acc: 0.4956, Legal_prob: 0.9852
Epoch: 121, Loss: 1.6256, Acc: 0.4951, Legal_prob: 0.9853
Epoch: 122, Loss: 1.6164, Acc: 0.4971, Legal_prob: 0.9855
Epoch: 123, Loss: 1.6405, Acc: 0.4921, Legal_prob: 0.9852
Epoch: 124, Loss: 1.6247, Acc: 0.4943, Legal_prob: 0.9853
Epoch: 125, Loss: 1.6255, Acc: 0.4930, Legal_prob: 0.9852
Epoch: 126, Loss: 1.6145, Acc: 0.4973, Legal_prob: 0.9856
Epoch: 127, Loss: 1.6159, Acc: 0.4959, Legal_prob: 0.9855
Epoch: 128, Loss: 1.6332, Acc: 0.4938, Legal_prob: 0.9851
Epoch: 129, Loss: 1.6645, Acc: 0.4885, Legal_prob: 0.9851
Epoch: 130, Loss: 1.6516, Acc: 0.4883, Legal_prob: 0.9851
Epoch: 131, Loss: 1.6309, Acc: 0.4938, Legal_prob: 0.9852
Epoch: 132, Loss: 1.6170, Acc: 0.4970, Legal_prob: 0.9857
Epoch: 133, Loss: 1.6229, Acc: 0.4948, Legal_prob: 0.9852
Epoch: 134, Loss: 1.6422, Acc: 0.4919, Legal_prob: 0.9854
Epoch: 135, Loss: 1.6265, Acc: 0.4943, Legal_prob: 0.9854
Epoch: 136, Loss: 1.6225, Acc: 0.4938, Legal_prob: 0.9856
Epoch: 137, Loss: 1.6355, Acc: 0.4934, Legal_prob: 0.9852
Epoch: 138, Loss: 1.6247, Acc: 0.4944, Legal_prob: 0.9855
Epoch: 139, Loss: 1.6373, Acc: 0.4915, Legal_prob: 0.9860
Epoch: 140, Loss: 1.6212, Acc: 0.4942, Legal_prob: 0.9861
